h,v,deg,error,est_distance,est_residual_knn
1.0,200.0,45.0,0.0008302589412778616,0.25,0.0007240485089520613
1.0,250.0,20.0,0.0022797957062721252,0.25,0.002193533737833301
1.0,250.0,25.0,0.00223981449380517,0.25,0.0020076729900514088
1.0,250.0,30.0,0.0026892758905887604,0.25,0.0018383012696479757
1.0,250.0,35.0,0.002396843396127224,0.25,0.0013403732834073405
1.0,250.0,40.0,0.0007696796674281359,0.25,0.0011612887610681355
1.0,250.0,45.0,0.0005576661205850542,0.25,0.0010217213615154226
1.0,300.0,20.0,0.0014112222706899047,0.25,0.001490642821105818
1.0,300.0,25.0,0.0011999175185337663,0.25,0.001168191103109469
1.0,300.0,30.0,0.001431332784704864,0.25,0.0009854711631002526
1.0,300.0,35.0,0.0009777677478268743,0.25,0.0010314563405700028
1.0,300.0,40.0,0.001045888289809227,0.25,0.0007284738239832222
1.0,300.0,45.0,0.0006178345065563917,0.25,0.0009994041562701266
2.0,150.0,20.0,0.001496460405178368,0.25,0.0018192804806555312
2.0,150.0,25.0,0.0017457958310842514,0.25,0.001369886042084545
2.0,150.0,30.0,0.0016918642213568091,0.25,0.0014846056777363021
2.0,150.0,35.0,0.0015956592978909612,0.25,0.001248644044001897
2.0,150.0,40.0,0.0011458226945251226,0.25,0.0011487533532393475
2.0,150.0,45.0,0.001038011396303773,0.25,0.0009215837538552781
2.0,200.0,20.0,0.0013662383425980806,0.25,0.002538685298835238
2.0,200.0,25.0,0.0020892091561108828,0.25,0.001943465167035659
2.0,200.0,30.0,0.002667688997462392,0.25,0.0018118629038023453
2.0,200.0,35.0,0.0023733091074973345,0.25,0.0015506037937787671
2.0,200.0,40.0,0.0011575320968404412,0.25,0.0012975248779791098
2.0,200.0,45.0,0.0007648562313988805,0.25,0.0010435819858685136
2.0,250.0,20.0,0.002749359467998147,0.25,0.0018395310811077554
2.0,250.0,25.0,0.001737021142616868,0.25,0.001959314434013019
2.0,250.0,30.0,0.00088876934023574,0.25,0.002764943754300475
2.0,250.0,35.0,0.003868534229695797,0.25,0.002462292342291524
2.0,250.0,40.0,0.004101264290511608,0.25,0.002795121205660204
2.0,250.0,45.0,0.001409003627486527,0.25,0.0022051563137210906
2.0,300.0,20.0,0.0024005421437323093,0.25,0.0018656170383716624
2.0,300.0,25.0,0.0020928264129906893,0.25,0.0017668149278809626
2.0,300.0,30.0,0.0016999851213768125,0.25,0.0015147776575759053
2.0,300.0,35.0,0.0010201737750321627,0.25,0.001459350382598738
2.0,300.0,40.0,0.001700298278592527,0.25,0.000988871674053371
2.0,300.0,45.0,0.0009005529573187232,0.25,0.0010752469340028863
3.0,150.0,20.0,0.0022719434928148985,0.25,0.0021721416851505637
3.0,150.0,25.0,0.002377969678491354,0.25,0.002063921264683207
3.0,150.0,30.0,0.0021740244701504707,0.25,0.0020560388220474124
3.0,150.0,35.0,0.002098282566294074,0.25,0.0016766013965631525
3.0,150.0,40.0,0.0012601204216480255,0.25,0.0013895337275850277
3.0,150.0,45.0,0.0009244959219358861,0.25,0.001395344074505071
3.0,200.0,20.0,0.003306893864646554,0.25,0.0027905627309034267
3.0,200.0,25.0,0.0033659955952316523,0.25,0.002351372231108447
3.0,200.0,30.0,0.001658013672567904,0.25,0.002838859334588051
3.0,200.0,35.0,0.0024828934110701084,0.25,0.0019672111763308444
3.0,200.0,40.0,0.0018703107489272952,0.25,0.0015944601424659293
3.0,200.0,45.0,0.001142954919487238,0.25,0.0017900077315668266
3.0,250.0,20.0,0.0015017763944342732,0.25,0.0036974903972198567
3.0,250.0,25.0,0.004350732080638409,0.25,0.0023255681541437903
3.0,250.0,30.0,0.00373790692538023,0.25,0.001969103682010124
3.0,250.0,35.0,0.0006678096251562238,0.25,0.003571422304958105
3.0,250.0,40.0,0.0031078257597982883,0.25,0.001808047411032021
3.0,250.0,45.0,0.0019565385300666094,0.25,0.00226500789479663
3.0,300.0,20.0,0.002092802431434393,0.25,0.002131888836932679
3.0,300.0,25.0,0.001715344493277371,0.25,0.0024051181972026825
3.0,300.0,30.0,0.002625576453283429,0.25,0.002314521737086276
3.0,300.0,35.0,0.0023407854605466127,0.25,0.0022498308680951595
3.0,300.0,40.0,0.0013666434679180384,0.25,0.0019026203663088381
3.0,300.0,45.0,0.00090760801685974,0.25,0.0014757146515573065
4.0,150.0,20.0,0.002641994971781969,0.32015621187164245,0.0025364545484383902
4.0,150.0,25.0,0.002959450474008918,0.25,0.002626128805180391
4.0,150.0,30.0,0.002858421765267849,0.25,0.0024695045625170073
4.0,150.0,35.0,0.002275038743391633,0.25,0.0021607972448691726
4.0,150.0,40.0,0.0015256874030455947,0.25,0.0018076865235343575
4.0,150.0,45.0,0.001887900405563414,0.3201562118716424,0.0012367679155431688
4.0,200.0,20.0,0.0036394542548805475,0.32015621187164245,0.0032896225651105246
4.0,200.0,25.0,0.0031959782354533672,0.25,0.0032664622024943433
4.0,200.0,30.0,0.0027939367573708296,0.25,0.00251189685271432
4.0,200.0,35.0,0.002681698650121689,0.25,0.0028118034824728966
4.0,200.0,40.0,0.0031585802789777517,0.25,0.002428955204474429
4.0,200.0,45.0,0.002734856214374304,0.3201562118716424,0.002057281982464095
