h,v,deg,error,est_distance,est_residual_knn
3.0,250.0,30.0,0.0007669110200367868,0.25,0.0003532653645379469
3.0,250.0,35.0,0.0001001589116640389,0.25,0.0007614891704482337
3.0,250.0,40.0,0.0006056047859601676,0.25,0.0003190862383538236
3.0,250.0,45.0,0.0003853837260976434,0.25,0.0004464725498110056
3.0,300.0,20.0,0.0004991096211597323,0.25,0.00039909860546079773
3.0,300.0,25.0,0.0001658502733334899,0.25,0.0005111955882360538
3.0,300.0,30.0,0.0006909338990226388,0.25,0.00040197256991329294
3.0,300.0,35.0,0.00058954325504601,0.25,0.00045666844622852903
3.0,300.0,40.0,0.00020412163576111197,0.25,0.00037170590076129884
3.0,300.0,45.0,0.0001639454421820119,0.25,0.0002641238970682025
4.0,150.0,20.0,0.0003268484433647245,0.32015621187164245,0.00038885212658594054
4.0,150.0,25.0,0.00043041471508331597,0.25,0.0003838671837002039
4.0,150.0,30.0,0.0004557578940875828,0.25,0.00037250458262860775
4.0,150.0,35.0,0.0003377182292751968,0.25,0.00033693611233805615
4.0,150.0,40.0,0.00018187225214205682,0.25,0.00025400329711070907
4.0,150.0,45.0,0.00022273167269304395,0.3201562118716424,0.00017775113034682968
4.0,200.0,20.0,0.0006825257441960275,0.32015621187164245,0.0005957225221209228
4.0,200.0,25.0,0.0005136785912327468,0.25,0.00056704738138554
4.0,200.0,30.0,0.00036548779462464154,0.25,0.000323710024531465
4.0,200.0,35.0,0.00038072335883043706,0.25,0.0004950862591310093
4.0,200.0,40.0,0.0006316332146525383,0.25,0.000470317240493993
4.0,200.0,45.0,0.0005899615935049951,0.3201562118716424,0.0004293951642466709
4.0,250.0,20.0,0.0006063089822418988,0.32015621187164245,0.0005588521501825502
4.0,250.0,25.0,0.0007293731905519962,0.25,0.0007342482955815891
4.0,250.0,30.0,0.0008040783577598631,0.25,0.0007191736173505584
4.0,250.0,35.0,0.0006612366414628923,0.25,0.00045865111557456356
4.0,250.0,40.0,0.0004717160772997886,0.25,0.0005348483973648399
4.0,250.0,45.0,0.0003377037646714598,0.3201562118716424,0.0004875681964525332
4.0,300.0,20.0,0.0002565514005254954,0.32015621187164245,0.00033616771300633747
4.0,300.0,25.0,0.0003435432445257902,0.25,0.00029097528507312137
4.0,300.0,30.0,0.00045052418136037886,0.25,0.0005031423158167551
4.0,300.0,35.0,0.0004749498039018363,0.25,0.00046723214715408784
4.0,300.0,40.0,0.0003616290050558746,0.25,0.0003321030138370891
4.0,300.0,45.0,0.00031723760184831917,0.3201562118716424,0.0002432320276663328
